Country,StreetAccount_Country_Identifier,IB_Exchange,mkt_code
Netherlands,NA,AEB,AMS
Austria,AV,VSE,VIE
Belgium,BB,ENEXT.BE,EBR
Canada,CN,TSE,TSE
Canada,CN,VENTURE,VENTURE
Denmark,DC,CPH,CPH
Denmark,DC,FWB,CPH
France,FP,SBF,EPA
Germany,GR,IBIS,FRA
Germany,GY,IBIS,FRA
Greece,EU,EU,EU
Greece,GA,GA,EU
Italy,IM,BVME,BIT
London,LI,LI,LON
London,LN,LN,LON
London,LSE,LSE,LON
Norway,NO,OSE,OSE
Spain,SM,BM,BME
Sweden,SS,SFB,STO
Switzerland,VX,EBS,VTX
Switzerland,SW,VIRTX,VTX
Finland,FH,HEX,HEL
Finland,FH,HE,HEL
Irealand,ID,ISED,ISE